year,county,violent_crimes,property_crimes,violent_clearance_rate,property_clearance_rate,arrests_total,arrests_felony,arrests_misdemeanor,arrests_status_offense,dic_total_deaths,dic_arrest_related,dic_city_county_jails,leoka_total_deaths,leoka_felony_deaths,leoka_accidental_deaths,leoka_total_assaults,leoka_injury_assaults,leoka_no_injury_assaults,calls_for_service,contracting_agencies,population_served,hispanic_population,white_population,black_population,native_american_population,asian_pacific_islander_population,other_population,hispanic_proportion,white_proportion,black_proportion,native_american_proportion,asian_pacific_islander_proportion,other_proportion,arrests_total_rate_per_100000,arrests_felony_rate_per_100000,arrests_misdemeanor_rate_per_100000,arrests_status_offense_rate_per_100000,violent_crimes_rate_per_100000,property_crimes_rate_per_100000,dic_total_deaths_rate_per_100000,dic_arrest_related_rate_per_100000,dic_city_county_jails_rate_per_100000,leoka_total_deaths_rate_per_100000,leoka_felony_deaths_rate_per_100000,leoka_accidental_deaths_rate_per_100000,leoka_total_assaults_rate_per_100000,leoka_injury_assaults_rate_per_100000,leoka_no_injury_assaults_rate_per_100000
2005,Alameda,9749,63034,27.73,9.19,57366,19765,37119,482,12,0,12,1,1,0,236,96,140,,,1462736,311563,542675,184305,4388,367147,51196,0.21,0.37,0.12,0,0.25,0.03,3921.828683,1351.234946,2537.641789,32.95194758,666.4907406,4309.321709,0.820380438,0,0.820380438,0.068365036,0.068365036,0,16.13414861,6.563043502,9.571105107
2005,Amador,140,1011,47.14,20.17,2005,795,1210,0,0,0,0,0,0,0,1,1,0,,,37434,3968,30172,824,636,487,1385,0.1,0.8,0.02,0.01,0.01,0.03,5356.093391,2123.737778,3232.355613,0,373.9915585,2700.753326,0,0,0,0,0,0,2.671368275,2.671368275,0
2005,Butte,752,7335,40.95,12.81,10149,2380,7758,11,0,0,0,0,0,0,31,5,26,,,212955,27258,163762,3194,1917,8944,7879,0.12,0.76,0.01,0,0.04,0.03,4765.795591,1117.607006,3643.023174,5.165410533,353.1262473,3444.38966,0,0,0,0,0,0,14.55706605,2.347913879,12.20915217
2005,Calaveras,153,925,55.55,9.94,2067,535,1529,3,0,0,0,0,0,0,8,1,7,,,44348,4346,37075,621,843,621,798,0.09,0.83,0.01,0.01,0.01,0.01,4660.864075,1206.367818,3447.731578,6.764679354,344.9986471,2085.776134,0,0,0,0,0,0,18.03914494,2.254893118,15.78425183
2005,Colusa,51,568,56.86,14.08,1258,411,833,14,0,0,0,0,0,0,5,3,2,,,20374,10350,8802,224,224,224,570,0.5,0.43,0.01,0.01,0.01,0.02,6174.536174,2017.276922,4088.544223,68.71502896,250.3190341,2787.866889,0,0,0,0,0,0,24.54108177,14.72464906,9.816432708
2005,Contra Costa,4513,39147,35.78,10.57,29494,12667,16729,98,5,0,5,1,1,0,184,73,111,,,1001216,223271,512623,90109,3004,137167,35043,0.22,0.51,0.08,0,0.13,0.03,2945.817885,1265.161564,1670.868224,9.788097673,450.7518857,3909.945506,0.499392738,0,0.499392738,0.099878548,0.099878548,0,18.37765277,7.291133981,11.08651879
2005,Del Norte,120,804,55.83,29.47,1984,627,1348,9,0,0,0,0,0,0,1,0,1,,,28251,4548,19041,961,1243,989,1469,0.16,0.67,0.03,0.04,0.03,0.05,7022.760256,2219.390464,4771.512513,31.85727939,424.7637252,2845.916959,0,0,0,0,0,0,3.53969771,0,3.53969771
2005,El Dorado,482,3632,66.8,14.09,6835,2129,4685,21,2,0,2,0,0,0,15,11,4,,,171739,19750,138593,687,1030,7213,4465,0.11,0.8,0,0,0.04,0.02,3979.87644,1239.671828,2727.976755,12.22785739,280.658441,2114.837049,1.164557846,0,1.164557846,0,0,0,8.734183849,6.405068156,2.329115693
2005,Fresno,5574,41890,52.08,13.77,48274,17651,30235,388,3,0,3,0,0,0,509,70,439,,,866058,416574,308317,42437,5196,76213,18187,0.48,0.35,0.04,0,0.08,0.02,5573.99158,2038.085209,3491.105677,44.80069464,643.6058555,4836.858501,0.346397124,0,0.346397124,0,0,0,58.77204529,8.082599549,50.68944574
2005,Glenn,73,825,73.97,15.15,2538,651,1701,186,0,0,0,0,0,0,3,1,2,,,27394,9478,15834,192,466,849,603,0.34,0.57,0,0.01,0.03,0.02,9264.802511,2376.432796,6209.388917,678.9807987,266.4817113,3011.608381,0,0,0,0,0,0,10.95130321,3.650434402,7.300868803
2005,Humboldt,394,4820,51.01,17.88,8200,1923,6038,239,0,0,0,0,0,0,13,7,6,,,131467,10912,103990,1315,6705,3155,5390,0.08,0.79,0.01,0.05,0.02,0.04,6237.306701,1462.724486,4592.787544,181.7946709,299.6949805,3666.319304,0,0,0,0,0,0,9.888413062,5.32453011,4.563882952
2005,Imperial,785,6229,48.66,10.46,8692,2668,5978,46,2,0,2,0,0,0,43,11,32,,,155793,118558,26017,5141,1714,3116,1246,0.76,0.16,0.03,0.01,0.02,0,5579.198038,1712.528804,3837.142875,29.52635869,503.8737299,3998.254094,1.283754726,0,1.283754726,0,0,0,27.60072661,7.060650992,20.54007561
2005,Inyo,86,437,63.95,21.05,1057,311,744,2,0,0,0,0,0,0,6,1,5,,,18511,3276,12680,37,1907,259,352,0.17,0.68,0,0.1,0.01,0.01,5710.118308,1680.082113,4019.231808,10.80438658,464.588623,2360.758468,0,0,0,0,0,0,32.41315974,5.40219329,27.01096645
2005,Kern,3899,33979,39.03,12.66,43157,15485,26552,1120,8,1,7,1,0,1,130,54,76,,,750969,346197,313905,42054,4506,27786,15770,0.46,0.41,0.05,0,0.03,0.02,5746.841747,2062.002559,3535.698544,149.1406436,519.1958656,4524.687437,1.065290312,0.133161289,0.932129023,0.133161289,0,0.133161289,17.31096756,7.190709603,10.12025796
2005,Kings,547,3976,65.63,17.85,10589,2451,7461,677,2,0,2,0,0,0,4,4,0,,,143607,69506,54571,10771,1580,4739,2441,0.48,0.38,0.07,0.01,0.03,0.01,7373.595995,1706.741315,5195.429192,471.4254876,380.9006525,2768.667266,1.392689771,0,1.392689771,0,0,0,2.785379543,2.785379543,0
2005,Lake,252,1665,92.46,27.62,4268,1415,2826,27,0,0,0,0,0,0,10,4,6,,,62870,9682,47718,1446,1132,1069,1760,0.15,0.75,0.02,0.01,0.01,0.02,6788.61142,2250.675998,4494.989661,42.94576109,400.8271035,2648.321934,0,0,0,0,0,0,15.90583744,6.362334977,9.543502465
2005,Lassen,101,462,63.36,24.89,1290,359,926,5,0,0,0,0,0,0,3,0,3,,,34552,5321,23599,3421,933,484,795,0.15,0.68,0.09,0.02,0.01,0.02,3733.503126,1039.013661,2680.018523,14.47094235,292.3130354,1337.115073,0,0,0,0,0,0,8.682565409,0,8.682565409
2005,Los Angeles,66350,286163,43.19,13.51,384949,148824,222928,13197,65,2,63,2,1,1,2677,686,1991,,,9816153,4643040,2836868,844189,19632,1285916,186507,0.47,0.28,0.08,0,0.13,0.01,3921.587204,1516.113288,2271.032247,134.4416698,675.9267098,2915.225547,0.662173868,0.020374581,0.641799287,0.020374581,0.01018729,0.01018729,27.27137607,6.988481129,20.28289494
2005,Madera,731,4116,58.27,39.28,4869,1723,3138,8,0,0,0,0,0,0,5,3,2,,,138174,69087,56651,5389,1382,2625,2902,0.5,0.4,0.03,0.01,0.01,0.02,3523.817795,1246.978447,2271.049546,5.789801265,529.0430906,2978.852751,0,0,0,0,0,0,3.618625791,2.171175474,1.447450316
2005,Marin,511,6164,43.83,9.73,7815,1949,5834,32,0,0,0,0,0,0,44,26,18,,,246688,33550,185016,7401,493,14308,5674,0.13,0.75,0.03,0,0.05,0.02,3167.969257,790.066805,2364.930601,12.97185108,207.144247,2498.702815,0,0,0,0,0,0,17.83629524,10.53962901,7.296666234
2005,Mariposa,75,399,89.33,17.04,1020,250,745,25,0,0,0,0,0,0,2,2,0,,,17965,1814,14731,108,341,252,737,0.1,0.81,0,0.01,0.01,0.04,5677.706652,1391.594768,4146.952407,139.1594768,417.4784303,2220.985249,0,0,0,0,0,0,11.13275814,11.13275814,0
2005,Mendocino,467,1890,53.53,21.53,5846,1807,4011,28,1,0,1,0,0,0,14,2,12,,,88129,17714,62572,529,3966,1498,1851,0.2,0.71,0,0.04,0.01,0.02,6633.457772,2050.403386,4551.282779,31.77160753,529.9050256,2144.583508,1.134700269,0,1.134700269,0,0,0,15.88580376,2.269400538,13.61640323
2005,Merced,1496,9451,58.55,14.99,15918,5222,10187,509,1,0,1,0,0,0,27,12,15,,,238069,124034,83324,8332,1190,16665,4523,0.52,0.34,0.03,0,0.07,0.01,6686.29683,2193.481722,4279.011547,213.8035612,628.3892485,3969.857478,0.420046289,0,0.420046289,0,0,0,11.34124981,5.040555469,6.300694337
2005,Mono,59,427,37.28,12.88,681,198,483,0,0,0,0,0,0,0,0,0,0,,,13763,3152,9689,124,344,151,303,0.22,0.7,0,0.02,0.01,0.02,4948.049117,1438.639831,3509.409286,0,428.6856063,3102.521253,0,0,0,0,0,0,0,0,0
2005,Monterey,1858,14618,43.59,14.81,17920,5250,12275,395,3,0,3,0,0,0,134,37,97,,,409557,213379,146212,12696,1229,26621,9829,0.52,0.35,0.03,0,0.06,0.02,4375.459338,1281.872853,2997.140813,96.44567179,453.6609068,3569.222355,0.732498773,0,0.732498773,0,0,0,32.71827853,9.034151534,23.684127
2005,Napa,477,3272,70.23,16.41,5627,1499,4079,49,0,0,0,0,0,0,114,100,14,,,130472,38098,78936,2479,652,7698,2609,0.29,0.6,0.01,0,0.05,0.01,4312.802747,1148.905512,3126.341284,37.5559507,365.5956834,2507.817769,0,0,0,0,0,0,87.37506898,76.64479735,10.73027163
2005,Nevada,289,1722,53.28,14.92,3890,1003,2784,103,1,0,1,0,0,0,39,13,26,,,97454,7309,85565,487,682,1364,2144,0.07,0.87,0,0,0.01,0.02,3991.626819,1029.203522,2856.732407,105.6908901,296.5501673,1766.987502,1.026125146,0,1.026125146,0,0,0,40.0188807,13.3396269,26.6792538
2005,Orange,8530,72006,52.47,15.86,96523,30364,64742,1417,14,3,11,0,0,0,549,183,366,,,2956847,981673,1380848,47310,8871,481966,56180,0.33,0.46,0.01,0,0.16,0.01,3264.389399,1026.904672,2189.562057,47.92266898,288.4829685,2435.229148,0.473477322,0.101459426,0.372017896,0,0,0,18.567075,6.189024999,12.37805
2005,Placer,664,9725,60.69,15.23,11082,4313,6712,57,1,0,1,1,0,1,58,28,30,,,307710,36310,240322,4308,2154,16924,7385,0.11,0.78,0.01,0,0.05,0.02,3601.442917,1401.644405,2181.274577,18.52393487,215.7875922,3160.443275,0.324981314,0,0.324981314,0.324981314,0,0.324981314,18.84891619,9.09947678,9.749439407
2005,Plumas,37,616,59.45,15.74,1463,394,1036,33,0,0,0,0,0,0,2,2,0,,,20880,1545,18082,188,585,209,271,0.07,0.86,0,0.02,0.01,0.01,7006.704981,1886.97318,4961.685824,158.045977,177.2030651,2950.191571,0,0,0,0,0,0,9.578544061,9.578544061,0
2005,Riverside,8660,74854,36.2,9.99,61338,26282,33946,1110,19,1,18,0,0,0,418,121,297,,,1895695,818940,805670,111846,9478,100472,49288,0.43,0.42,0.05,0,0.05,0.02,3235.647085,1386.404459,1790.688903,58.55372304,456.8245419,3948.630977,1.002270935,0.052751102,0.949519833,0,0,0,22.04996057,6.382883322,15.66707725
